distance_4,distance_7,4WEE(cd1(E1)),4WEE(cd2(E1)),4WEE(ca2(E1)),4Max(cd1(E1)),4Max(cd2(E1)),4Max(ca2(E1)),4Min(cd1(E1)),4Min(cd2(E1)),4Min(ca2(E1)),4Avg(cd1(E1)),4Avg(cd2(E1)),4Avg(ca2(E1)),4WEE(cd1(E2)),4WEE(cd2(E2)),4WEE(ca2(E2)),4Max(cd1(E2)),4Max(cd2(E2)),4Max(ca2(E2)),4Min(cd1(E2)),4Min(cd2(E2)),4Min(ca2(E2)),4Avg(cd1(E2)),4Avg(cd2(E2)),4Avg(ca2(E2)),4WEE(cd1(E3)),4WEE(cd2(E3)),4WEE(ca2(E3)),4Max(cd1(E3)),4Max(cd2(E3)),4Max(ca2(E3)),4Min(cd1(E3)),4Min(cd2(E3)),4Min(ca2(E3)),4Avg(cd1(E3)),4Avg(cd2(E3)),4Avg(ca2(E3)),7WEE(cd1(E1)),7WEE(cd2(E1)),7WEE(ca2(E1)),7Max(cd1(E1)),7Max(cd2(E1)),7Max(ca2(E1)),7Min(cd1(E1)),7Min(cd2(E1)),7Min(ca2(E1)),7Avg(cd1(E1)),7Avg(cd2(E1)),7Avg(ca2(E1)),7WEE(cd1(E2)),7WEE(cd2(E2)),7WEE(ca2(E2)),7Max(cd1(E2)),7Max(cd2(E2)),7Max(ca2(E2)),7Min(cd1(E2)),7Min(cd2(E2)),7Min(ca2(E2)),7Avg(cd1(E2)),7Avg(cd2(E2)),7Avg(ca2(E2)),7WEE(cd1(E3)),7WEE(cd2(E3)),7WEE(ca2(E3)),7Max(cd1(E3)),7Max(cd2(E3)),7Max(ca2(E3)),7Min(cd1(E3)),7Min(cd2(E3)),7Min(ca2(E3)),7Avg(cd1(E3)),7Avg(cd2(E3)),7Avg(ca2(E3)),type,phase
1000,19000,0.000238301,0.000628972,0.9991327272035654,56.87697754935155,71.14675261,103.8521253,-35.09669108,-56.85784525,-97.70177534,1.2172221766043615e-05,-0.00052036,2.415509028314622,0.000369809,0.001036884,0.9985933063433013,47.74945226359731,64.86602828,94.29235057215851,-23.92272369,-45.99781351,-96.42212086,-6.83E-05,0.000228021,0.025518152290980756,0.000364395,0.000984826,0.9986507790978677,56.83642174694094,63.47109107211001,94.28144630595301,-24.50406621,-48.72702344,-96.43331479,1.5760210622500287e-05,9.510184241978814e-05,-2.330432,0.000321115,0.00087176,0.9988071257073534,24.306386739420983,49.062408235731084,97.83756605946502,-42.30599359,-56.54347313,-91.10744417,-5.14E-05,0.000473598,2.0951100616681573,0.000350686,0.000888782,0.9987605325068689,21.262306792459427,38.89644870081771,94.46783229335003,-57.48107246,-66.08116828,-95.21621206,-0.000100565,-0.000121855,0.42913203466023864,0.000312562,0.000775266,0.9989121720941773,21.04941735428752,39.99140358400745,94.46318175744503,-57.7060022,-62.88456498,-95.22453098,-0.000126416,-0.000148903,-2.606058309,L,1
100,19900,0.000196963,0.000530465,0.9992725722102767,43.43270884113858,43.24493013145201,97.14465204834002,-33.18707782,-30.85801237,-93.02515199,-3.14E-05,0.00023431,2.361904309102056,0.000315704,0.001098721,0.9985855748804364,32.51404708663611,40.47038540246591,91.39779327844752,-18.79953442,-35.94972905,-93.05645546,3.670468010200517e-05,8.218847889730203e-05,0.002674472,0.000249843,0.000865266,0.9988848911909032,28.608807280633915,37.50207757,91.28381598260502,-18.72764828,-35.820024,-93.12171317,3.905539988162072e-05,8.895899908688927e-05,-2.353743148,0.000353518,0.001332297,0.9983141844562546,18.350295103193332,39.244109499302056,94.25790643413401,-23.62967749,-38.28065808,-48.50630642,-7.50E-06,-8.19E-05,2.1377064747706434,0.000219438,0.00078849,0.998992071,20.754523482022293,32.581703865711376,92.36749225437501,-16.59659466,-31.84245872,-92.96724415,3.4317265619964824e-06,-0.00015437,0.44812954403241706,0.000193386,0.000679604,0.9991270102069407,20.390812749085626,31.14447013,92.30021621569853,-19.99913343,-36.07838844,-93.01540857,2.5456409971839712e-05,-4.09E-05,-2.58676452,L,1
1050,18950,2.7136549171205068e-05,9.309504315643592e-05,0.9998797684076723,14.421587184280007,30.274571094684607,94.04798753571852,-12.98718159,-24.1046083,-91.95604792,-1.60E-06,7.611213376576074e-05,2.3586401515828124,6.243261768764593e-05,0.000214177,0.9997233906495062,18.23839159252961,29.692286536256454,85.20364516621402,-9.094648366,-24.31656795,-89.92654795,-9.03E-06,9.379811764084211e-06,0.002432973,5.246949900390411e-05,0.000183413,0.9997641172329482,17.275731412083225,28.733046103668503,84.86359350719002,-9.103269594,-23.88068412,-90.04957927,1.4001856310101696e-05,1.562332124748868e-05,-2.353893958,5.095962270915508e-05,0.000183536,0.9997655045332112,10.711750426822523,26.18329650112085,91.49462399831151,-13.0491203,-27.08198317,-83.46192265,3.994947772367219e-08,1.943261265892338e-05,2.137609273425851,4.841048960555605e-05,0.000177877,0.9997737121335901,12.130277320398203,24.40009648249175,85.94012419877751,-10.6151822,-25.35891884,-88.05254257,-1.70E-05,-0.000103323,0.448349026,4.5296830949769355e-05,0.00016259,0.9997921128550482,11.802340959482049,24.592810108977005,85.67201866410201,-12.81620353,-26.91532576,-88.15677454,4.732534425035481e-06,-4.05E-05,-2.586451932,L,1
1100,18900,0.000222649,0.000659818,0.999117533,52.58148949,86.38575265270453,102.926982,-41.57406797,-54.34643961,-97.29086682,-2.08E-05,-0.000168378,2.411277367925135,0.000332615,0.000973568,0.9986938165889578,34.09862464094371,60.55665912875425,94.14138559168453,-26.41272106,-44.92046095,-96.11748884,-9.95E-05,-0.000293435,0.023424941231189645,0.000304899,0.000929571,0.9987655302008289,31.492405472391688,63.15261372329451,94.13042859846401,-25.31397562,-46.99649077,-96.1286782,-8.61E-05,-0.000392328,-2.332380885,0.000308997,0.000815761,0.9988752416520726,23.640804900568362,53.117464309926504,97.41939270409102,-43.77559954,-53.5720866,-91.24403666,-5.03E-05,0.000170772,2.0988959493356525,0.00029278,0.000842234,0.9988649855239319,25.099389999843847,46.389511679353305,94.31839613829551,-34.44441409,-65.32242232,-95.00711524,4.298738939283825e-05,0.000402237,0.43078583160156947,0.000254037,0.000737717,0.9990082457639241,23.47120967,43.40990478,94.30463942023351,-30.36647863,-63.82885837,-95.0154376,6.562848662250202e-05,0.000578696,-2.60425167,L,1
1150,18850,0.000206408,0.000638903,0.9991546888910076,27.86112864472237,66.74678506836256,104.38797570356601,-19.892864,-73.44974646,-97.93906208,-3.34E-05,-1.18E-05,2.4276426699476126,0.000361736,0.001086554,0.9985517103374442,32.78797638158718,76.30315560491901,94.39045267715503,-27.81284525,-49.46697278,-96.62484762,-6.15E-05,0.000291779,0.030583077340080183,0.000358977,0.001091896,0.9985491263147638,32.539033959675145,81.59384454661851,94.38007419,-30.5121277,-51.33531979,-96.63608528,-2.91E-05,0.000210083,-2.325218082,0.000356358,0.000918161,0.9987254813253748,29.034796880532436,57.847629089254006,98.11661229223151,-56.14346893,-55.34507869,-92.35375274,-0.000205031,2.9035450149749367e-05,2.086183886818361,0.000319355,0.000919797,0.9987608484068675,27.36809760671678,46.77261807344717,94.54748841,-37.35108524,-61.61647274,-95.35560426,4.852672315942825e-05,-1.83E-05,0.42488039781331366,0.00028081,0.00081385,0.9989053405029957,25.046435303750116,44.689571888117705,94.53925825448351,-37.32755727,-65.13293253,-95.36389583,7.826575027484333e-05,1.3149952339161214e-05,-2.610384499,L,1
1200,18800,0.000216921,0.000575123,0.9992079553449006,58.20184504295482,68.07104356980851,102.59759209121101,-24.69883772,-50.48725559,-97.13949555,0.000116215,-2.52E-05,2.4117252170824166,0.000284661,0.000871554,0.9988437846606465,27.51245198762883,62.250125206221014,94.089346,-24.09045805,-45.81324538,-96.01587041,-9.50E-05,-0.000611769,0.023304967596778494,0.000278889,0.000866134,0.9988549766529977,29.745195921122637,58.75946124927875,94.07844538437752,-24.27735064,-45.73225266,-96.02705422,-6.83E-05,-0.000611314,-2.332362415,0.000292488,0.000809439,0.9988980726883742,25.56721766,51.61653463103285,97.28008735037551,-54.43864663,-53.27563984,-91.67699022,-5.85E-05,0.000236054,2.0990408940734397,0.000263169,0.000777519,0.9989593123734593,25.90606539,43.185195279555614,94.23972796164551,-35.54612378,-61.34689339,-94.93744707,4.186578726385474e-06,0.000517616,0.4307541522959855,0.00023921,0.000716443,0.9990443473945161,23.99048712663135,42.415916065997756,94.22596785693702,-32.96087286,-57.32981484,-94.94577324,4.083035710415174e-05,0.000457293,-2.604246392,L,1
1250,18750,0.000208138,0.000596082,0.9991957801961189,57.62227469498445,71.68165003551151,103.75973298154551,-19.27648492,-70.33463456,-97.64900045,3.2838317620042266e-05,0.000313774,2.425148265,0.000301044,0.000958811,0.9987401449798703,31.77052494728273,67.79839559224861,94.29017855665153,-26.36151432,-47.09485845,-96.4217357,-6.88E-05,-0.00039263,0.029148725251187117,0.000290511,0.000963327,0.9987461617768331,29.845032227173952,74.64879612299451,94.27986555,-27.82473394,-48.31473452,-96.43296678,-4.26E-05,-0.000362224,-2.3264613,0.000311594,0.000869477,0.9988189282884383,30.528578345151548,57.93041853159221,97.83784346,-52.18244512,-62.06419605,-92.59956817,-2.15E-06,-0.000168517,2.088808609394492,0.000273631,0.000843873,0.998882496,26.293070242886476,43.44556184207471,94.43124693223501,-33.65572115,-63.0873027,-95.21628362,-1.57E-05,0.000467779,0.42591141814505107,0.000245072,0.000742217,0.9990127104534827,23.593313937012827,40.73307232,94.42085701674552,-36.59312809,-66.21733456,-95.22457981,-6.13E-06,0.000414244,-2.609272521,L,1
1300,18700,3.428594362641175e-05,0.000101158,0.9998645563780626,13.61100523,21.905097100182452,94.03087619,-22.35913599,-28.14015626,-91.82848065,-1.23E-05,-2.67E-05,2.358761239778627,5.711647181359329e-05,0.00018383,0.9997590533021616,17.47126250807922,20.594510608733703,85.22290416,-10.41546713,-27.7687095,-89.92658446,8.358682516123402e-07,-5.90E-05,0.002423389,4.881721299171848e-05,0.000158782,0.9997924004304276,17.046282622866983,18.218425442033606,84.87992255520652,-9.781952519,-27.34849524,-90.04907484,2.606687713203959e-06,-2.77E-05,-2.353879684,4.479853691460911e-05,0.000166392,0.9997888095213706,10.853841256765069,28.602136285432152,91.49427285181551,-11.67522842,-32.9624029,-84.49556298,9.13328029486539e-06,-4.25E-05,2.1375508377465224,4.592985798000381e-05,0.000154299,0.9997997708464214,12.541559475997873,28.317694141309303,87.32920799846102,-7.966825773,-19.67942854,-88.05252865,-1.08E-05,-1.59E-06,0.44840997045130965,4.252730201810766e-05,0.000137574,0.999819899,12.177062647958683,28.404374591020453,87.23196143270602,-10.45088956,-19.55521424,-88.15644314,1.1239610129414533e-05,2.8002638212619496e-05,-2.586374366,L,1
1350,18650,0.000182366,0.000577922,0.9992397122439164,28.797315994744604,72.10628102,102.84131913254453,-34.3530181,-58.39465842,-97.22262089,-2.38E-05,0.000459507,2.4189673170721098,0.000300338,0.000855224,0.9988444370823635,43.80990823,60.71593531081986,94.13904353,-25.02121947,-47.08661774,-96.1171739,3.577092287626589e-05,2.6687972421777775e-05,0.026113207344177786,0.000286547,0.000859961,0.998853492,49.67121846607628,67.58682483597451,94.12879042125502,-25.48934812,-48.31507931,-96.12839476,1.8591554138548004e-05,0.000456924,-2.32935748,0.000263876,0.000787975,0.9989481492265228,26.027783925244357,62.119767829654506,97.41960653120302,-39.32100842,-75.31196378,-92.59897186,1.217053281252176e-05,-0.000183737,2.0943463240530753,0.000277657,0.00075174,0.9989706026603827,25.68165590658782,39.84326666691896,94.37678333,-49.80780801,-67.39592286,-95.00724723,-2.07E-05,-0.000346055,0.4282980381589026,0.000241825,0.00067036,0.9990878153852023,23.89726519215777,40.007838410757955,94.36748730805101,-48.96933384,-65.32863968,-95.01554665,-3.26E-05,-0.000390998,-2.606705201,L,1
1400,18600,0.000224588,0.000558402,0.9992170098593836,51.65148084693314,67.76431275969105,104.29077657002603,-42.25998304,-53.65481506,-97.87004107,-1.94E-05,-0.000168244,2.437015107196952,0.000321366,0.000850224,0.9988284104482187,46.82038278714552,65.33932693652352,94.38694017,-27.70286891,-48.76362343,-96.62455608,-1.55E-05,-0.000405968,0.033989915,0.000303941,0.000822351,0.9988737083799055,36.593715045395925,61.48484706705291,94.37672919,-29.44391096,-52.97221242,-96.63572629,-4.57E-05,-0.000159649,-2.321413005,0.000284811,0.000785971,0.998929218,26.559762936164645,66.67099926,98.11709301557701,-44.15862331,-76.83165155,-93.54412816,-7.37E-05,0.000164668,2.081083251560577,0.000258649,0.000745347,0.9989960036630247,25.11204614303785,51.56322913,94.64972917809851,-34.98231309,-63.40827124,-95.3559008,9.536687225257635e-05,0.000266683,0.4216592654040697,0.000232052,0.000669233,0.9990987157281713,26.58077939073569,51.18816202689831,94.63760363385951,-35.09808846,-66.91733305,-95.36423862,7.444066821103765e-05,0.000176788,-2.613566344,L,1
